impl,shape,tokens,msg_kb,latency_us,busbw_gbps,speedup_vs_nccl
nccl_symmetric,attn_oproj_h7168,1,14.0,33.78880023956299,0.7424945491442664,0.9988066652319177
nccl,attn_oproj_h7168,1,14.0,33.74847888946533,0.7433816523159295,1.0
oneshot,attn_oproj_h7168,1,14.0,4.778560101985931,5.2501170780657604,7.062478690063924
nccl_symmetric,attn_oproj_h7168,2,28.0,34.30207967758179,1.462768452281121,0.9982648628116326
nccl,attn_oproj_h7168,2,28.0,34.24256086349487,1.4653109678339322,1.0
oneshot,attn_oproj_h7168,2,28.0,4.816319942474365,10.417912555498187,7.10969397226192
nccl_symmetric,attn_oproj_h7168,4,56.0,36.21023893356323,2.7713708319937056,1.0001502534127178
nccl,attn_oproj_h7168,4,56.0,36.21567964553833,2.770954486625604,1.0
oneshot,attn_oproj_h7168,4,56.0,4.8764801025390625,20.578777702332715,7.426602566609822
nccl_symmetric,attn_oproj_h7168,8,112.0,36.512320041656494,5.4968843330420825,0.9949168026880885
nccl,attn_oproj_h7168,8,112.0,36.32672071456909,5.524968839796933,1.0
oneshot,attn_oproj_h7168,8,112.0,5.055680274963379,39.69871294945641,7.185327935879455
twoshot,attn_oproj_h7168,8,112.0,278.8431930541992,0.7197737115318028,0.1302765196334135
nccl_symmetric,attn_oproj_h7168,16,224.0,36.213440895080566,11.084503159006067,1.0033401764353693
nccl,attn_oproj_h7168,16,224.0,36.33440017700195,11.047602218408803,1.0
oneshot,attn_oproj_h7168,16,224.0,6.2012797594070435,64.72986473333724,5.859177716000381
twoshot,attn_oproj_h7168,16,224.0,242.02688217163086,1.658526509114577,0.15012547305069934
nccl_symmetric,attn_oproj_h7168,32,448.0,14.18720006942749,56.58734606344329,2.6152475496773993
nccl,attn_oproj_h7168,32,448.0,37.10304021835327,21.6374721660378,1.0
oneshot,attn_oproj_h7168,32,448.0,8.748800158500671,91.76298297543727,4.240928989822968
twoshot,attn_oproj_h7168,32,448.0,128.52288246154785,6.246482996832807,0.2886882048374067
nccl_symmetric,attn_oproj_h7168,64,896.0,16.582399606704712,96.8274820340718,2.267985399334667
nccl,attn_oproj_h7168,64,896.0,37.60864019393921,42.693168158171126,1.0
oneshot,attn_oproj_h7168,64,896.0,14.293760061264038,112.33097471331203,2.6311229538446144
twoshot,attn_oproj_h7168,64,896.0,72.22911834716797,22.229705093208512,0.5206853005345289
nccl_symmetric,attn_oproj_h7168,128,1792.0,20.003840923309326,160.53237037383653,2.0034232717882574
nccl,attn_oproj_h7168,128,1792.0,40.0761604309082,80.12903345709125,1.0
oneshot,attn_oproj_h7168,128,1792.0,25.46816110610962,126.08935472885958,1.573578880074472
twoshot,attn_oproj_h7168,128,1792.0,46.091837882995605,69.6709905157571,0.8694849732970459
nccl_symmetric,attn_oproj_h7168,256,3584.0,25.741119384765625,249.50461182356534,2.3609850427097103
nccl,attn_oproj_h7168,256,3584.0,60.77439785003662,105.6781840249221,1.0
oneshot,attn_oproj_h7168,256,3584.0,46.692800521850586,137.5485712619547,1.3015796262123183
twoshot,attn_oproj_h7168,256,3584.0,35.93280076980591,178.7371944965895,1.691334840258401
nccl_symmetric,attn_oproj_h7168,512,7168.0,32.80672073364258,391.5373348128536,2.339705944766825
nccl,attn_oproj_h7168,512,7168.0,76.7580795288086,167.34467666272235,1.0
oneshot,attn_oproj_h7168,512,7168.0,92.83455848693848,138.36502493634694,0.8268265695431536
twoshot,attn_oproj_h7168,512,7168.0,49.39104080200195,260.06854262280206,1.5540891279557199
nccl_symmetric,attn_oproj_h7168,1024,14336.0,50.40287971496582,509.6953218800312,2.074395780610676
nccl,attn_oproj_h7168,1024,14336.0,104.55552101135254,245.70784738579798,1.0
oneshot,attn_oproj_h7168,1024,14336.0,186.06048583984375,138.07398107147486,0.5619437170628014
twoshot,attn_oproj_h7168,1024,14336.0,78.53087902069092,327.13389077475244,1.3313937436483396
nccl_symmetric,attn_oproj_h7168,2048,28672.0,83.10367584228516,618.2665625707076,1.9238812208143812
nccl,attn_oproj_h7168,2048,28672.0,159.88160133361816,321.36420683445033,1.0
oneshot,attn_oproj_h7168,2048,28672.0,369.5484924316406,139.03513355423675,0.4326403830836712
twoshot,attn_oproj_h7168,2048,28672.0,125.42304039001465,409.6553858065344,1.274738683071718
nccl_symmetric,moe_fused_h10752,1,21.0,34.118080139160156,1.1029928954533004,1.0012755971980747
nccl,moe_fused_h10752,1,21.0,34.161601066589355,1.1015877132528418,1.0
oneshot,moe_fused_h10752,1,21.0,4.591679871082306,8.195693309762415,7.4398917227949335
nccl_symmetric,moe_fused_h10752,2,42.0,35.385921001434326,2.1269476071274016,0.9969072083679678
nccl,moe_fused_h10752,2,42.0,35.276479721069336,2.133546221026346,1.0
oneshot,moe_fused_h10752,2,42.0,4.638400077819824,16.226284653603265,7.605311988880928
nccl_symmetric,moe_fused_h10752,4,84.0,36.263999938964844,4.15089345503393,0.9986322357908733
nccl,moe_fused_h10752,4,84.0,36.214399337768555,4.156578674577436,1.0
oneshot,moe_fused_h10752,4,84.0,4.743680059909821,31.73232555714594,7.634241534083773
nccl_symmetric,moe_fused_h10752,8,168.0,36.900479793548584,8.15859310459791,1.0001214045217401
nccl,moe_fused_h10752,8,168.0,36.9049596786499,8.157602734739353,1.0
oneshot,moe_fused_h10752,8,168.0,5.504639744758606,54.691317499325685,6.7043369575256895
twoshot,moe_fused_h10752,8,168.0,150.1136016845703,2.005521129475002,0.2458468737309848
nccl_symmetric,moe_fused_h10752,16,336.0,13.778879642486572,43.69818269864366,2.7439328525468825
nccl,moe_fused_h10752,16,336.0,37.80832052230835,15.925383399263424,1.0
oneshot,moe_fused_h10752,16,336.0,7.470719814300537,80.59624975459934,5.060867153649
twoshot,moe_fused_h10752,16,336.0,122.42624282836914,4.918161221725217,0.30882529471489456
nccl_symmetric,moe_fused_h10752,32,672.0,16.605119705200195,72.52124774643302,2.2455339015709526
nccl,moe_fused_h10752,32,672.0,37.2873592376709,32.29577059411033,1.0
oneshot,moe_fused_h10752,32,672.0,11.653759479522705,103.33352100804817,3.199599176831308
twoshot,moe_fused_h10752,32,672.0,71.77120208740234,16.77865167332026,0.519530928188477
nccl_symmetric,moe_fused_h10752,64,1344.0,19.13983941078186,125.83428462013492,2.0384037754658624
nccl,moe_fused_h10752,64,1344.0,39.01472091674805,61.73177568383203,1.0
oneshot,moe_fused_h10752,64,1344.0,19.720959663391113,122.12630830896674,1.9783378488001673
twoshot,moe_fused_h10752,64,1344.0,44.830079078674316,53.72392932373165,0.8702799932223935
nccl_symmetric,moe_fused_h10752,128,2688.0,22.69792079925537,212.21749968208647,2.359038961164463
nccl,moe_fused_h10752,128,2688.0,53.54527950286865,89.95930257011617,1.0
oneshot,moe_fused_h10752,128,2688.0,35.991361141204834,133.83478277195135,1.487725882130286
twoshot,moe_fused_h10752,128,2688.0,43.6681604385376,110.30682198714834,1.2261858288771514
nccl_symmetric,moe_fused_h10752,256,5376.0,28.856000900268555,333.8574888909967,2.2570113534699088
nccl,moe_fused_h10752,256,5376.0,65.12832164764404,147.92016370574618,1.0
oneshot,moe_fused_h10752,256,5376.0,70.74560165405273,136.17513703692023,0.9205988799999568
twoshot,moe_fused_h10752,256,5376.0,42.470078468322754,226.83716035951232,1.5335107444226042
nccl_symmetric,moe_fused_h10752,512,10752.0,40.5350399017334,475.3315661390544,2.301574178661008
nccl,moe_fused_h10752,512,10752.0,93.29440116882324,206.5245476535495,1.0
oneshot,moe_fused_h10752,512,10752.0,141.3593578338623,136.30214720305202,0.6599803691699764
twoshot,moe_fused_h10752,512,10752.0,65.48511981964111,294.2284301084997,1.424665655736362
nccl_symmetric,moe_fused_h10752,1024,21504.0,65.16575813293457,591.3407455705552,2.0433454678496297
nccl,moe_fused_h10752,1024,21504.0,133.156156539917,289.3983199976795,1.0
oneshot,moe_fused_h10752,1024,21504.0,281.9193649291992,136.68861665348055,0.4723200074367279
twoshot,moe_fused_h10752,1024,21504.0,103.57888221740723,372.03691693753257,1.2855531329294367
nccl_symmetric,moe_fused_h10752,2048,43008.0,123.18816184997559,625.6310252754639,1.6998750891736338
nccl,moe_fused_h10752,2048,43008.0,209.40448760986328,368.0452930100905,1.0
oneshot,moe_fused_h10752,2048,43008.0,560.8000183105469,137.4292679807328,0.3734031397515114
twoshot,moe_fused_h10752,2048,43008.0,182.58399963378906,422.10892605365706,1.1468939667762148
