impl,latency_us,tokens,nvb,rows,aggregation_us,decoder_layer_us,ideal_GB,ideal_GBps,approx_TFLOPs,speedup,device,hidden_size,available
torch_eager,33.21920037269592,1,4,5,33.219,66.438,8.6e-05,2.6,0.006,0.09433901636571458,NVIDIA B200,7168,True
sglang_triton,11.938132842381796,1,4,5,11.938,23.876,0.000172,14.4,0.017,0.2625089475039272,NVIDIA B200,7168,True
sglang_tma,3.1338666876157126,1,4,5,3.134,6.268,8.6e-05,27.4,0.064,1.0,NVIDIA B200,7168,True
torch_eager,53.38666836420695,16,4,5,53.387,106.773,0.001376,25.8,0.06,0.05896103480448181,NVIDIA B200,7168,True
sglang_triton,12.939733266830444,16,4,5,12.94,25.879,0.002753,212.7,0.248,0.24326105852476845,NVIDIA B200,7168,True
sglang_tma,3.147733211517334,16,4,5,3.148,6.295,0.001376,437.2,1.02,1.0,NVIDIA B200,7168,True
torch_eager,149.31839307149252,256,4,5,149.318,298.637,0.02202,147.5,0.344,0.03935393583301195,NVIDIA B200,7168,True
sglang_triton,22.920533021291096,256,4,5,22.921,45.841,0.04404,1921.4,2.242,0.2563756459836887,NVIDIA B200,7168,True
sglang_tma,5.876266459623973,256,4,5,5.876,11.753,0.02202,3747.3,8.744,1.0,NVIDIA B200,7168,True
torch_eager,1987.0068868001301,4096,4,5,1987.007,3974.014,0.352322,177.3,0.414,0.02833554995316277,NVIDIA B200,7168,True
sglang_triton,231.74293835957846,4096,4,5,231.743,463.486,0.704643,3040.6,3.547,0.242954254816785,NVIDIA B200,7168,True
sglang_tma,56.30293289820353,4096,4,5,56.303,112.606,0.352322,6257.6,14.601,1.0,NVIDIA B200,7168,True
torch_eager,7729.456329345703,16384,4,5,7729.456,15458.913,1.409286,182.3,0.425,0.02761632856595888,NVIDIA B200,7168,True
sglang_triton,897.548770904541,16384,4,5,897.549,1795.098,2.818572,3140.3,3.664,0.23782463142623356,NVIDIA B200,7168,True
sglang_tma,213.4592056274414,16384,4,5,213.459,426.918,1.409286,6602.1,15.405,1.0,NVIDIA B200,7168,True
