"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Frequency","hz","3989466292.13",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","SM Frequency","hz","2026465941.01",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","23102",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","Memory Throughput","%","2.77",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","DRAM Throughput","%","0.99",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","Duration","ns","11392",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","11.67",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.85",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","5933.28",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","2.94",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.13 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved  close to 1% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","PM Sampling","Maximum Buffer Size","byte","30146560",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","PM Sampling","Maximum Sampling Interval","ns","1000",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","PM Sampling","# Pass Groups","","2",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.50",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.12",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Compute Workload Analysis","Issue Slots Busy","%","2.94",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.50",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Compute Workload Analysis","SM Busy","%","2.94",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","98.22"
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Sector Promotion Misses","%","0.68",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Memory Throughput","byte/s","75775280898.88",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Mem Busy","%","2.77",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","Max Bandwidth","%","1.85",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L1/TEX Hit Rate","%","67.79",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Persisting Size","byte","24870912",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Compression Input Sectors","sector","49055",
"0","102691","python3.12","127.0.0.1","kernel_cutlass_causal_conv1d_prefill_kernel_tensorptrbf16gmemalign16o128307230721_tensorptrbf16gmemalign16o3072441_tensorptrbf16gmemalign16o30721_tensorptrbf16gmemalign16o1130723921631_te_0","1","7","(128, 1, 1)","(3, 32, 1)","0","10.3","Memory Workload Analysis","L2 Hit Rate","%","26.22",
