"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","DRAM Frequency","hz","3992161985.63",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","SM Frequency","hz","2010032250.16",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","98934",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","Memory Throughput","%","23.34",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","DRAM Throughput","%","16.32",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","Duration","ns","48992",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","25.89",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","L2 Cache Throughput","%","12.27",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","SM Active Cycles","cycle","88578.24",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","70.28",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","SpeedOfLight","","","","SOLBottleneck","OPT","Compute is more heavily utilized than Memory: Look at the Compute Workload Analysis section to see what the compute pipelines are spending their time doing. Also, consider whether any computation is redundant and could be reduced or moved to look-up tables.","",""
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (FP32) to double (FP64) performance on this device is 64:1. The workload achieved 5% of this device's FP32 peak performance and 0% of its FP64 peak performance. See the Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","PM Sampling","Maximum Buffer Size","byte","30146560",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","PM Sampling","Maximum Sampling Interval","ns","1000",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","PM Sampling","# Pass Groups","","2",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Compute Workload Analysis","Executed Ipc Active","inst/cycle","3.12",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","2.81",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Compute Workload Analysis","Issue Slots Busy","%","70.28",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Compute Workload Analysis","Issued Ipc Active","inst/cycle","3.12",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Compute Workload Analysis","SM Busy","%","70.28",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","103936","python3.12","127.0.0.1","_causal_conv1d_fwd_kernel","1","7","(128, 1, 1)","(8, 683, 12)","0","10.3","Memory Workload Analysis","L2 Sector Promotion Misses","%","0.00",
