impl,latency_us,timing,tokens,nvb,rows,aggregation_us,decoder_layer_us,ideal_GB,ideal_GBps,approx_TFLOPs,speedup,device,hidden_size,available
cute_dsl,7.0182400941848755,eager,1,4,5,7.018,14.036,0.000158,22.5,0.029,0.451577596384369,NVIDIA B200,7168,True
sglang_tma,3.169279992580414,eager,1,4,5,3.169,6.339,8.6e-05,27.1,0.063,1.0,NVIDIA B200,7168,True
cute_dsl,8.280959725379944,eager,16,4,5,8.281,16.562,0.002523,304.7,0.388,0.4004173641029443,NVIDIA B200,7168,True
sglang_tma,3.3158400654792786,eager,16,4,5,3.316,6.632,0.001376,415.1,0.968,1.0,NVIDIA B200,7168,True
cute_dsl,8.306559920310974,eager,256,4,5,8.307,16.613,0.04037,4860.0,6.185,0.7273287818431203,NVIDIA B200,7168,True
sglang_tma,6.0416001081466675,eager,256,4,5,6.042,12.083,0.02202,3644.7,8.504,1.0,NVIDIA B200,7168,True
cute_dsl,107.1123218536377,eager,4096,4,5,107.112,214.225,0.645923,6030.3,7.675,0.5287189887834626,NVIDIA B200,7168,True
sglang_tma,56.6323184967041,eager,4096,4,5,56.632,113.265,0.352322,6221.2,14.516,1.0,NVIDIA B200,7168,True
cute_dsl,382.36799240112305,eager,16384,4,5,382.368,764.736,2.583691,6757.1,8.6,0.5589672718166897,NVIDIA B200,7168,True
sglang_tma,213.73119354248047,eager,16384,4,5,213.731,427.462,1.409286,6593.7,15.385,1.0,NVIDIA B200,7168,True
