tokens,step,latency_us,step_saved_us,cumulative_pct,rel_error,tie_excluded_error,tie_rows
1,baseline,75.18,0.0,0.0,0.0,,0
1,precomputed_route+packed_AR,74.73,0.45,0.6,0.0,,0
1,+fc1_shard(col_AG+quant),72.62,2.11,3.4,0.004807692486792803,,0
1,+fused_front(dual_out),62.24,10.39,17.2,0.004807692486792803,,0
1,+radix_routing,56.04,6.19,25.4,0.004807692486792803,,0
1,+route_side_stream,54.41,1.64,27.6,0.004807692486792803,,0
1,+measured_tail,44.64,9.77,40.6,0.009615384973585606,,0
2,baseline,78.65,0.0,0.0,0.0,,0
2,precomputed_route+packed_AR,78.72,-0.07,-0.1,0.0,,1
2,+fc1_shard(col_AG+quant),70.1,8.63,10.9,0.0055555556900799274,,1
2,+fused_front(dual_out),65.99,4.11,16.1,0.0055555556900799274,,1
2,+radix_routing,57.79,8.2,26.5,0.0055555556900799274,,1
2,+route_side_stream,55.91,1.89,28.9,0.0055555556900799274,,1
2,+measured_tail,45.61,10.29,42.0,0.008888889104127884,,1
4,baseline,80.21,0.0,0.0,0.0,,0
4,precomputed_route+packed_AR,79.36,0.85,1.1,0.0,,2
4,+fc1_shard(col_AG+quant),72.65,6.71,9.4,0.0,,2
4,+fused_front(dual_out),69.25,3.4,13.7,0.004201680887490511,,2
4,+radix_routing,61.1,8.15,23.8,0.004201680887490511,,2
4,+route_side_stream,58.73,2.37,26.8,0.004201680887490511,,2
4,+measured_tail,48.1,10.62,40.0,0.008403361774981022,,2
8,baseline,81.28,0.0,0.0,0.0,,0
8,precomputed_route+packed_AR,80.79,0.5,0.6,0.0,,4
8,+fc1_shard(col_AG+quant),76.02,4.77,6.5,0.003937007859349251,,4
8,+fused_front(dual_out),71.84,4.19,11.6,0.005905511789023876,,4
8,+radix_routing,63.66,8.18,21.7,0.005905511789023876,,4
8,+route_side_stream,59.86,3.8,26.4,0.005905511789023876,,4
8,+measured_tail,50.39,9.47,38.0,0.007874015718698502,,4
16,baseline,90.74,0.0,0.0,0.0,,0
16,precomputed_route+packed_AR,88.85,1.9,2.1,0.004000000189989805,,12
16,+fc1_shard(col_AG+quant),83.96,4.89,7.5,0.004000000189989805,,12
16,+fused_front(dual_out),79.23,4.73,12.7,0.004000000189989805,,12
16,+radix_routing,71.46,7.77,21.2,0.004000000189989805,,12
16,+route_side_stream,67.83,3.63,25.2,0.004000000189989805,,12
16,+measured_tail,59.31,8.52,34.6,0.00800000037997961,,12
32,baseline,104.82,0.0,0.0,0.0,,0
32,precomputed_route+packed_AR,102.88,1.94,1.8,0.0,,20
32,+fc1_shard(col_AG+quant),96.02,6.86,8.4,0.012145749293267727,,20
32,+fused_front(dual_out),91.43,4.59,12.8,0.012145749293267727,,20
32,+radix_routing,83.46,7.97,20.4,0.012145749293267727,,20
32,+route_side_stream,79.49,3.97,24.2,0.012145749293267727,,20
32,+measured_tail,68.5,10.99,34.6,0.01315789483487606,,20
64,baseline,115.69,0.0,0.0,0.0,,0
64,precomputed_route+packed_AR,114.46,1.23,1.1,0.0017857142956927419,,30
64,+fc1_shard(col_AG+quant),113.06,1.4,2.3,0.008928571827709675,,30
64,+fused_front(dual_out),109.22,3.84,5.6,0.008928571827709675,,30
64,+radix_routing,100.72,8.5,12.9,0.008928571827709675,,30
64,+route_side_stream,95.02,5.7,17.9,0.008928571827709675,,30
64,+measured_tail,81.06,13.96,29.9,0.008928571827709675,,30
128,baseline,129.99,0.0,0.0,0.0,,0
128,precomputed_route+packed_AR,130.24,-0.25,-0.2,0.001953125,,58
128,+fc1_shard(col_AG+quant),130.06,0.18,-0.1,0.0146484375,,58
128,+fused_front(dual_out),124.92,5.14,3.9,0.0146484375,,58
128,+radix_routing,116.42,8.5,10.4,0.0146484375,,58
128,+route_side_stream,111.27,5.15,14.4,0.0146484375,,58
128,+measured_tail,100.05,11.22,23.0,0.0146484375,,58
256,baseline,168.43,0.0,0.0,0.0,,0
256,precomputed_route+packed_AR,174.69,-6.25,-3.7,0.0031847134232521057,,120
256,+overlap_shared_branch,171.22,3.46,-1.7,0.0031847134232521057,,120
256,+radix_routing,163.49,7.73,2.9,0.0031847134232521057,,120
512,baseline,213.67,0.0,0.0,0.0,,0
512,precomputed_route+packed_AR,218.02,-4.35,-2.0,0.0035714285913854837,,247
512,+overlap_shared_branch,212.53,5.49,0.5,0.0035714285913854837,,247
512,+radix_routing,200.32,12.21,6.2,0.0035714285913854837,,247
1024,baseline,338.29,0.0,0.0,0.0,,0
1024,precomputed_route+packed_AR,349.22,-10.93,-3.2,0.17142857611179352,,473
1024,+overlap_shared_branch,338.99,10.23,-0.2,0.17142857611179352,,473
1024,+radix_routing,329.44,9.55,2.6,0.17142857611179352,,473
2048,baseline,509.09,0.0,0.0,0.0,0.0,0
2048,precomputed_route+packed_AR,522.53,-13.44,-2.6,0.0034246575087308884,0.0034246575087308884,1038
2048,+overlap_shared_branch,514.91,7.61,-1.1,0.0034246575087308884,0.0034246575087308884,1038
2048,+radix_routing,498.64,16.28,2.1,0.0034246575087308884,0.0034246575087308884,1038
4096,baseline,934.1,0.0,0.0,0.0,0.0,0
4096,precomputed_route+packed_AR,927.63,6.46,0.7,0.19695723056793213,0.003289473708719015,2013
4096,+overlap_shared_branch,926.0,1.63,0.9,0.19695723056793213,0.003289473708719015,2013
4096,+radix_routing,897.45,28.55,3.9,0.19695723056793213,0.003289473708719015,2013
4096,+fc1_shard(col_AG),662.99,234.46,29.0,0.19695723056793213,0.00657894741743803,2013
4096,+fused_AG_quantize,669.03,-6.05,28.4,0.19695723056793213,0.00657894741743803,2013
8192,baseline,1754.46,0.0,0.0,0.0,0.0,0
8192,precomputed_route+packed_AR,1751.75,2.71,0.2,0.13904494047164917,0.00561797758564353,4015
8192,+overlap_shared_branch,1775.58,-23.83,-1.2,0.13904494047164917,0.00561797758564353,4015
8192,+radix_routing,1697.12,78.45,3.3,0.13904494047164917,0.00561797758564353,4015
8192,+fc1_shard(col_AG),1162.08,535.04,33.8,0.139396071434021,0.00561797758564353,4015
8192,+fused_AG_quantize,1179.47,-17.39,32.8,0.139396071434021,0.00561797758564353,4015
8192,+native_expert_backend,1180.15,-0.68,32.7,0.139396071434021,0.00561797758564353,4015
16384,baseline,3492.52,0.0,0.0,0.0,0.0,0
16384,precomputed_route+packed_AR,3429.24,63.28,1.8,0.18411624431610107,0.0031847134232521057,8012
16384,+overlap_shared_branch,3415.01,14.22,2.2,0.18411624431610107,0.0031847134232521057,8012
16384,+radix_routing,3240.19,174.82,7.2,0.18411624431610107,0.0031847134232521057,8012
16384,+fc1_shard(col_AG),2126.56,1113.64,39.1,0.18411624431610107,0.006369426846504211,8012
16384,+fused_AG_quantize,2145.92,-19.36,38.6,0.18411624431610107,0.006369426846504211,8012
16384,+native_expert_backend,2111.48,34.43,39.5,0.18411624431610107,0.006369426846504211,8012
