tokens,step,latency_us,step_delta_us,cumulative_pct,rel_error,tie_rows
256,baseline,168.43,0.0,0.0,0.0,0
256,precomputed_route+packed_AR,174.69,-6.25,-3.7,0.0031847134232521057,120
256,+overlap_shared_branch,171.22,3.46,-1.7,0.0031847134232521057,120
256,+radix_routing,163.49,7.73,2.9,0.0031847134232521057,120
512,baseline,213.67,0.0,0.0,0.0,0
512,precomputed_route+packed_AR,218.02,-4.35,-2.0,0.0035714285913854837,247
512,+overlap_shared_branch,212.53,5.49,0.5,0.0035714285913854837,247
512,+radix_routing,200.32,12.21,6.2,0.0035714285913854837,247
1024,baseline,338.29,0.0,0.0,0.0,0
1024,precomputed_route+packed_AR,349.22,-10.93,-3.2,0.17142857611179352,473
1024,+overlap_shared_branch,338.99,10.23,-0.2,0.17142857611179352,473
1024,+radix_routing,329.44,9.55,2.6,0.17142857611179352,473
