tokens,step,latency_us,step_delta_us,cumulative_pct,rel_error,tie_rows
32,baseline,104.82,0.0,0.0,0.0,0
32,precomputed_route+packed_AR,102.88,1.94,1.8,0.0,20
32,+fc1_shard(col_AG+quant),96.02,6.86,8.4,0.012145749293267727,20
32,+fused_front(dual_out),91.43,4.59,12.8,0.012145749293267727,20
32,+radix_routing,83.46,7.97,20.4,0.012145749293267727,20
32,+route_side_stream,79.49,3.97,24.2,0.012145749293267727,20
32,+measured_tail,68.5,10.99,34.6,0.01315789483487606,20
128,baseline,129.99,0.0,0.0,0.0,0
128,precomputed_route+packed_AR,130.24,-0.25,-0.2,0.001953125,58
128,+fc1_shard(col_AG+quant),130.06,0.18,-0.1,0.0146484375,58
128,+fused_front(dual_out),124.92,5.14,3.9,0.0146484375,58
128,+radix_routing,116.42,8.5,10.4,0.0146484375,58
128,+route_side_stream,111.27,5.15,14.4,0.0146484375,58
128,+measured_tail,100.05,11.22,23.0,0.0146484375,58
