tokens,step,latency_us,step_delta_us,cumulative_pct,rel_error,tie_excluded_error,tie_rows
8192,baseline,1754.46,0.0,0.0,0.0,0.0,0
8192,precomputed_route+packed_AR,1751.75,2.71,0.2,0.13904494047164917,0.00561797758564353,4015
8192,+overlap_shared_branch,1775.58,-23.83,-1.2,0.13904494047164917,0.00561797758564353,4015
8192,+radix_routing,1697.12,78.45,3.3,0.13904494047164917,0.00561797758564353,4015
8192,+fc1_shard(col_AG),1162.08,535.04,33.8,0.139396071434021,0.00561797758564353,4015
8192,+fused_AG_quantize,1179.47,-17.39,32.8,0.139396071434021,0.00561797758564353,4015
8192,+native_expert_backend,1180.15,-0.68,32.7,0.139396071434021,0.00561797758564353,4015
16384,baseline,3492.52,0.0,0.0,0.0,0.0,0
16384,precomputed_route+packed_AR,3429.24,63.28,1.8,0.18411624431610107,0.0031847134232521057,8012
16384,+overlap_shared_branch,3415.01,14.22,2.2,0.18411624431610107,0.0031847134232521057,8012
16384,+radix_routing,3240.19,174.82,7.2,0.18411624431610107,0.0031847134232521057,8012
16384,+fc1_shard(col_AG),2126.56,1113.64,39.1,0.18411624431610107,0.006369426846504211,8012
16384,+fused_AG_quantize,2145.92,-19.36,38.6,0.18411624431610107,0.006369426846504211,8012
16384,+native_expert_backend,2111.48,34.43,39.5,0.18411624431610107,0.006369426846504211,8012
