tokens,step,latency_us,step_saved_us,cumulative_pct,rel_error,tie_excluded_error,tie_rows
256,baseline,169.32,0.0,0.0,0.0,0.0,0
256,precomputed_route+packed_AR,170.51,-1.19,-0.7,0.0031847134232521057,0.0,120
256,+fc1_shard(col_AG+quant),164.16,6.35,3.0,0.00875796191394329,0.007961783558130264,120
256,+fused_front(dual_out),160.13,4.03,5.4,0.009554140269756317,0.009554140269756317,120
256,+radix_routing,158.39,1.74,6.5,0.009554140269756317,0.009554140269756317,120
256,+route_side_stream,154.88,3.52,8.5,0.009554140269756317,0.009554140269756317,120
256,+measured_tail,131.76,23.12,22.2,0.009554140269756317,0.009554140269756317,120
16384,baseline,3655.15,0.0,0.0,0.0,0.0,0
16384,precomputed_route+packed_AR,3628.54,26.6,0.7,0.18411624431610107,0.0031847134232521057,8012
16384,+overlap_shared_branch,3647.25,-18.7,0.2,0.18411624431610107,0.0031847134232521057,8012
16384,+radix_routing,3463.0,184.24,5.3,0.18411624431610107,0.0031847134232521057,8012
16384,+fc2_shard_tail,2447.18,1015.82,33.0,0.18411624431610107,0.006369426846504211,8012
16384,+fc1_shard(dma_AG),2094.7,352.48,42.7,0.18411624431610107,0.006369426846504211,8012
16384,+native_expert_backend,2081.2,13.5,43.1,0.18411624431610107,0.006369426846504211,8012
