tokens,mode,config,latency_us,speedup_pct,rel_error,tie_excluded_error,tie_rows
1,deploy,baseline,74.93612051010132,0.0,0.0,0.0,0
1,deploy,new,46.36235952377319,38.130825017124295,0.009615384973585606,0.009615384973585606,0
2,deploy,baseline,78.66312026977539,0.0,0.0,0.0,0
2,deploy,new,45.450679659843445,42.22110754827648,0.008888889104127884,0.008888889104127884,1
4,deploy,baseline,80.346440076828,0.0,0.0,0.0,0
4,deploy,new,48.34904074668884,39.82429003642595,0.008403361774981022,0.008403361774981022,2
8,deploy,baseline,81.20603919029236,0.0,0.0,0.0,0
8,deploy,new,50.42064011096954,37.910233507612084,0.007874015718698502,0.007874015718698502,4
16,deploy,baseline,90.6391990184784,0.0,0.0,0.0,0
16,deploy,new,59.38551962375641,34.48141613470169,0.00800000037997961,0.00800000037997961,12
32,deploy,baseline,104.93867993354797,0.0,0.0,0.0,0
32,deploy,new,68.29060018062592,34.92332834387598,0.01315789483487606,0.010121457278728485,20
64,deploy,baseline,115.95523953437805,0.0,0.0,0.0,0
64,deploy,new,81.39075875282288,29.808468267885047,0.008928571827709675,0.008928571827709675,30
128,deploy,baseline,129.83311891555786,0.0,0.0,0.0,0
128,deploy,new,99.88816022872925,23.064191122378038,0.0146484375,0.0146484375,58
192,deploy,baseline,147.24452018737793,0.0,0.0,0.0,0
192,deploy,new,121.34112119674683,17.592097116868864,0.009615384973585606,0.009615384973585606,100
256,deploy,baseline,169.37584161758423,0.0,0.0,0.0,0
256,deploy,new,132.2573208808899,21.91488489869784,0.009554140269756317,0.009554140269756317,120
512,deploy,baseline,213.92091751098633,0.0,0.0,0.0,0
512,deploy,new,178.8011622428894,16.417167463903233,0.0071428571827709675,0.0071428571827709675,247
1024,deploy,baseline,339.8680041233699,0.0,0.0,0.0,0
1024,deploy,new,263.493833442529,22.471715417235195,0.17321428656578064,0.0071428571827709675,473
2048,deploy,baseline,520.2278246482214,0.0,0.0,0.0,0
2048,deploy,new,366.8401688337326,29.48470815035887,0.006849315017461777,0.006849315017461777,1038
4096,deploy,baseline,949.8378336429596,0.0,0.0,0.0,0
4096,deploy,new,623.5471665859222,34.352249984147164,0.19695723056793213,0.00657894741743803,2013
8192,deploy,baseline,1794.813315073649,0.0,0.0,0.0,0
8192,deploy,new,1092.5559997558594,39.12703953218516,0.139396071434021,0.00561797758564353,4015
16384,deploy,baseline,3650.864005088806,0.0,0.0,0.0,0
16384,deploy,new,1983.3906491597493,45.67339001411246,0.18411624431610107,0.006369426846504211,8012
