tokens,mode,config,latency_us,speedup_pct,rel_error,tie_excluded_error,tie_rows
1,deploy,baseline,74.9729198217392,0.0,0.0,0.0,0
1,deploy,new,44.80295956134796,40.24114351171786,0.009615384973585606,0.009615384973585606,0
2,deploy,baseline,80.36427974700928,0.0,0.0,0.0,0
2,deploy,new,45.89028060436249,42.89716681487427,0.008888889104127884,0.008888889104127884,1
4,deploy,baseline,80.32248020172119,0.0,0.0,0.0,0
4,deploy,new,48.33620011806488,39.82232620721651,0.008403361774981022,0.008403361774981022,2
8,deploy,baseline,81.21816158294678,0.0,0.0,0.0,0
8,deploy,new,50.52559971809387,37.79026915489474,0.007874015718698502,0.007874015718698502,4
16,deploy,baseline,90.67560076713562,0.0,0.0,0.0,0
16,deploy,new,59.411799907684326,34.47873583957827,0.00800000037997961,0.00800000037997961,12
32,deploy,baseline,104.91615772247314,0.0,0.0,0.0,0
32,deploy,new,68.29627990722656,34.90394483575581,0.01315789483487606,0.010121457278728485,20
64,deploy,baseline,115.85235953330994,0.0,0.0,0.0,0
64,deploy,new,81.04075789451599,30.048245697391163,0.008928571827709675,0.008928571827709675,30
112,deploy,baseline,128.47872018814087,0.0,0.0,0.0,0
112,deploy,new,95.06892085075378,26.004150172466424,0.01315789483487606,0.009868420660495758,68
128,deploy,baseline,129.79640126228333,0.0,0.0,0.0,0
128,deploy,new,99.5383620262146,23.3119246310423,0.0146484375,0.0146484375,58
192,deploy,baseline,147.2006392478943,0.0,0.0,0.0,0
192,deploy,new,120.53063869476318,18.118128215610056,0.009615384973585606,0.009615384973585606,100
256,deploy,baseline,169.1872000694275,0.0,0.0,0.0,0
256,deploy,new,132.80691981315613,21.502974362920117,0.009554140269756317,0.009554140269756317,120
512,deploy,baseline,213.85792016983032,0.0,0.0,0.0,0
512,deploy,new,178.787841796875,16.398774637434624,0.0071428571827709675,0.0071428571827709675,247
1024,deploy,baseline,339.9193733930588,0.0,0.0,0.0,0
1024,deploy,new,263.36095730463666,22.522522127591525,0.17321428656578064,0.0071428571827709675,473
2048,deploy,baseline,520.5540011326473,0.0,0.0,0.0,0
2048,deploy,new,366.7108416557312,29.553736815426735,0.006849315017461777,0.006849315017461777,1038
4096,deploy,baseline,951.2543280919393,0.0,0.0,0.0,0
4096,deploy,new,624.1751611232758,34.38398725866834,0.19695723056793213,0.00657894741743803,2013
8192,deploy,baseline,1790.180007616679,0.0,0.0,0.0,0
8192,deploy,new,1093.2809909184773,38.928991147991006,0.139396071434021,0.00561797758564353,4015
16384,deploy,baseline,3648.7340132395425,0.0,0.0,0.0,0
16384,deploy,new,1980.592707792918,45.71835873466586,0.18411624431610107,0.006369426846504211,8012
