op,impl,tokens,mbytes,latency_us,sol_us,eff,cfg
all_gather,oneshot,32,0.459,11.22,0.45,0.04,g8x512
all_gather,ce,32,0.459,49.5,0.45,0.009,sync32t
all_gather,nccl,32,0.459,30.31,0.45,0.015,
all_gather,nccl_symmbuf,32,0.459,30.26,0.45,0.015,
all_gather,multimem,32,0.459,15.18,0.45,0.029,
reduce_scatter,oneshot,32,0.459,8.87,0.45,0.05,g8x512
reduce_scatter,oneshot_cols,32,0.459,6.81,0.45,0.065,
reduce_scatter,ce_cols,32,0.459,61.4,0.45,0.007,sync32t
reduce_scatter,nccl,32,0.459,29.81,0.45,0.015,
reduce_scatter,nccl_symmbuf,32,0.459,30.06,0.45,0.015,
all_reduce,flashinfer,32,0.459,13.41,3.57,0.266,
all_reduce,trtllm,32,0.459,15.98,3.57,0.223,
all_reduce,nccl,32,0.459,43.32,3.57,0.082,
all_reduce,symm_1shot,32,0.459,42.49,3.57,0.084,
all_reduce,multimem,32,0.459,18.22,3.57,0.196,
all_gather,oneshot,64,0.918,19.02,0.89,0.047,g8x512
all_gather,ce,64,0.918,49.74,0.89,0.018,sync32t
all_gather,nccl,64,0.918,30.68,0.89,0.029,
all_gather,nccl_symmbuf,64,0.918,30.85,0.89,0.029,
all_gather,multimem,64,0.918,15.25,0.89,0.058,
reduce_scatter,oneshot,64,0.918,14.18,0.89,0.063,g8x512
reduce_scatter,oneshot_cols,64,0.918,7.59,0.89,0.118,
reduce_scatter,ce_cols,64,0.918,61.5,0.89,0.015,sync32t
reduce_scatter,nccl,64,0.918,30.04,0.89,0.03,
reduce_scatter,nccl_symmbuf,64,0.918,30.5,0.89,0.029,
all_reduce,flashinfer,64,0.918,21.52,7.14,0.332,
all_reduce,trtllm,64,0.918,17.4,7.14,0.41,
all_reduce,nccl,64,0.918,44.08,7.14,0.162,
all_reduce,symm_1shot,64,0.918,58.0,7.14,0.123,
all_reduce,multimem,64,0.918,18.73,7.14,0.381,
