batch,config,latency_us,win_pct,rel_err
1,baseline,255.16184091567993,0.0,0.0
1,opt,152.09392070770264,40.39315590376103,0.009900989942252636
2,baseline,517.5435447692871,0.0,0.0
2,opt,225.39356231689453,56.449352987800964,0.008733624592423439
4,baseline,336.83151483535767,0.0,0.0
4,opt,203.22399854660034,39.66597850977938,0.008474576286971569
8,baseline,381.4150810241699,0.0,0.0
8,opt,201.71260118484497,47.1146760523445,0.25957661867141724
16,baseline,486.1020040512085,0.0,0.0
16,opt,255.67920207977295,47.402150176521715,0.23084677755832672
