impl,latency_us,mode,variant,heads,batch,seq_len,tokens_s,key_dim,value_dim,state_dtype,note
b10_kda_decode,2.3788799345493317,decode,KDA only,12,1,1,420365.89803320426,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,4.342400133609772,decode,KDA only,12,1,1,230287.39158791318,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,4.779520034790039,decode,KDA only,12,1,1,209226.02954292862,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,4.709120094776154,decode,KDA only,12,1,1,212353.89624259193,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,2.528640031814575,decode,KDA only,12,1,1,395469.4964163764,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,3.404799997806549,decode,KDA only,12,1,1,293703.00770800724,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,3.4060800075531006,decode,KDA only,12,1,1,293592.63369693764,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,2.911359965801239,decode,KDA + fused gated RMSNorm,12,1,1,343482.08800926775,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,3.4240001440048218,decode,KDA + conv + gated RMSNorm,12,1,1,292056.06248321227,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,7.9923200607299805,decode,KDA + conv + gated RMSNorm,12,1,1,125120.1143599678,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,3.5417601466178894,decode,KDA only,12,8,1,2258763.910831,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,5.949440002441406,decode,KDA only,12,8,1,1344664.3712210103,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,5.740159749984741,decode,KDA only,12,8,1,1393689.435214981,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,5.582720041275024,decode,KDA only,12,8,1,1432993.2256772988,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,3.5788801312446594,decode,KDA only,12,8,1,2235336.112589434,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,4.5926401019096375,decode,KDA only,12,8,1,1741917.4641343155,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,4.378879964351654,decode,KDA only,12,8,1,1826951.1987375284,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,3.275519907474518,decode,KDA + fused gated RMSNorm,12,8,1,2442360.3659817586,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,3.5872000455856323,decode,KDA + conv + gated RMSNorm,12,8,1,2230151.6219717683,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
trtllm_kda_fused_decode,8.47104012966156,decode,KDA + conv + gated RMSNorm,12,8,1,944394.062305029,128,128,float32,TRT-LLM Kimi K3 fully-fused single-token decode (conv4+SiLU + safe gate + recurrence + gated RMSNorm in ONE Triton kernel); covers more of the layer than the bare-recurrence rows
b10_kda_decode,6.664320230484009,decode,KDA only,12,32,1,4801690.028883252,128,128,float32,b10 promoted CuTeDSLGen champion (kda/b10/b10_kda_decode_cutedsl.py)
fla_kda_recurrent,12.966400384902954,decode,KDA only,12,32,1,2467917.0047269445,128,128,float32,upstream FLA Triton fused_recurrent (the original)
sglang_kda_packed,12.861440181732178,decode,KDA only,12,32,1,2488057.289684509,128,128,float32,"SGLang serving fusion: packed QKV in, same recurrence as split"
sglang_kda_split,11.699199676513672,decode,KDA only,12,32,1,2735229.834929692,128,128,float32,SGLang fork of FLA fused_recurrent (varlen T-loop + verify features)
vllm_kda_recurrent,7.975040078163147,decode,KDA only,12,32,1,4012519.0201389445,128,128,float32,"vLLM-vendored FLA fused_recurrent, pre-activated gate"
trtllm_kda_split,11.549439430236816,decode,KDA only,12,32,1,2770697.244077746,128,128,float32,"TRT-LLM fused-Triton varlen recurrent (fused_sigmoid_gating_delta_rule_update), fork of the SGLang split kernel"
trtllm_kda_packed,10.37951946258545,decode,KDA only,12,32,1,3082994.3635973562,128,128,float32,"TRT-LLM packed-QKV single-token Triton decode (fused_kda_packed_decode), counterpart of sglang_kda_packed"
b10_kda_decode_gated,9.082239866256714,decode,KDA + fused gated RMSNorm,12,32,1,3523359.9278620402,128,128,float32,"b10 CuTeDSL decode + fused gated RMSNorm epilogue (post-norm output, counterpart of trtllm_kda_fused_decode minus the conv)"
b10_kda_decode_conv_gated,9.58079993724823,decode,KDA + conv + gated RMSNorm,12,32,1,3340013.3819296667,128,128,float32,"b10 CuTeDSL fully-fused layer step (conv4+SiLU + recurrence + gated RMSNorm in ONE kernel), counterpart of trtllm_kda_fused_decode; decay gate AND output gate z are pre-activated untimed here (TRT activates the raw gates in-kernel)"
