impl,latency_us,batch,batch_panel,pnat,draft,heads,tokens_s,note
recurrent loop (b10 fused),6.161280274391174,1,B=1,0,4,96,649215.7184644971,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.386879920959473,1,B=1,0,4,96,541500.6122748026,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.273600101470947,1,B=1,0,4,96,231567.2457682621,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.972159743309021,1,B=1,1,4,96,573710.3203693351,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.594239711761475,1,B=1,1,4,96,526715.0039792733,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.22048044204712,1,B=1,1,4,96,232281.556456069,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.063040137290955,1,B=1,2,4,96,566328.3688395135,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.628800272941589,1,B=1,2,4,96,524328.8403010765,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.242239713668823,1,B=1,2,4,96,231988.42299060436,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.253119945526123,1,B=1,4,4,96,551486.8125774321,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.700480222702026,1,B=1,4,4,96,519448.12327515305,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.210240364074707,1,B=1,4,4,96,232419.76377911304,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.906559705734253,1,B=1,8,4,96,505909.0361512087,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),8.000640273094177,1,B=1,8,4,96,499959.9861340891,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.28063941001892,1,B=1,8,4,96,231472.91631355326,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),8.533120155334473,1,B=1,12,4,96,468761.7105097721,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),8.000640273094177,1,B=1,12,4,96,499959.9861340891,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.249280214309692,1,B=1,12,4,96,231893.73413284062,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),12.599680423736572,4,B=4,0,4,96,1269873.4778905627,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),10.11072039604187,4,B=4,0,4,96,1582478.7327976804,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),22.849280834197998,4,B=4,0,4,96,700240.8572988068,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),13.775360584259033,4,B=4,1,4,96,1161494.0968066594,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),10.576000213623047,4,B=4,1,4,96,1512859.2735267011,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),21.624319553375244,4,B=4,1,4,96,739907.6748060094,THREE launches: conv + WY chunk replay/verify + norm
