impl,latency_us,batch,draft,heads,tokens_s,note
b10_spec_verify_conv_gated,7.737600207328796,1,4,12,516956.1482656255,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,8.866559863090515,1,4,12,451133.25368174596,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,10.221439599990845,1,4,12,391334.3087214039,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,16.305919885635376,1,4,12,245309.68065921759,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,7.740160226821899,1,4,12,516785.16759108426,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,7.798399925231934,4,4,12,2051702.9330890775,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,9.020799994468689,4,4,12,1773678.6105235422,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,11.920000314712524,4,4,12,1342281.8437556284,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,16.751999855041504,4,4,12,955109.8458960892,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,7.8227198123931885,4,4,12,2045324.4374995905,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,11.723519563674927,16,4,12,5459111.459864206,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,12.632319927215576,16,4,12,5066369.468850756,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,20.903680324554443,16,4,12,3061661.8225271367,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,19.185279607772827,16,4,12,3335890.9178509284,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,9.21280026435852,16,4,12,6946856.348074346,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
b10_spec_verify_conv_gated,29.706239700317383,64,4,12,8617718.115203416,ONE kernel: conv4+SiLU + cached-replay verify + ring append + gated RMSNorm (b10 CuTeDSL)
b10_spec_verify_gated + conv,30.91775894165039,64,4,12,8280030.919548101,"TWO launches: sglang conv, then the b10 kernel without the conv fused — prices the conv fusion"
trt_replay_chain,58.34303855895996,64,4,12,4387841.400157673,THREE launches (production TRT-LLM): conv + cached-replay verify (Triton) + gated norm
triton_chunk_replay_chain,37.79200077056885,64,4,12,6773920.268316789,"THREE launches: TRT's chain with the verify T-loop replaced by the chunk-form (WY) Triton kernel — tensor-core GEMMs, no sequential loop (KDA.md Appendix A)"
cutedsl_chunk_conv_gated,16.472959518432617,64,4,12,15540619.747990377,ONE generated CuTeDSL kernel: conv + WY chunk verify + gated norm
