impl,latency_us,mode,heads,batch,seq_len,tokens_s,key_dim,value_dim,state_dtype
gate_cumsum,4.188799858093262,kda_stages,12,1,512,122230714.60689506,128,128,float32
wy_prep,37.699198722839355,kda_stages,12,1,512,13581190.51187723,128,128,float32
state_carry,19.523200392723083,kda_stages,12,1,512,26225208.454595316,128,128,float32
output,7.440000027418137,kda_stages,12,1,512,68817204.04746781,128,128,float32
gate_cumsum,9.081599861383438,kda_stages,12,1,2048,225510926.6274169,128,128,float32
wy_prep,62.067198753356934,kda_stages,12,1,2048,32996494.7852465,128,128,float32
state_carry,62.108802795410156,kda_stages,12,1,2048,32974391.838564746,128,128,float32
output,13.939200341701508,kda_stages,12,1,2048,146923779.68577272,128,128,float32
gate_cumsum,27.161601185798645,kda_stages,12,1,8192,301602248.8498638,128,128,float32
wy_prep,209.84320640563965,kda_stages,12,1,8192,39038671.493440524,128,128,float32
state_carry,325.2095937728882,kda_stages,12,1,8192,25189908.77532637,128,128,float32
output,56.52160048484802,kda_stages,12,1,8192,144935740.137013,128,128,float32
gate_cumsum,9.081599861383438,kda_stages,12,4,512,225510926.6274169,128,128,float32
wy_prep,63.308799266815186,kda_stages,12,4,512,32349373.60553461,128,128,float32
state_carry,24.49599951505661,kda_stages,12,4,512,83605488.26518326,128,128,float32
output,13.93280029296875,kda_stages,12,4,512,146991269.3023765,128,128,float32
gate_cumsum,26.88319981098175,kda_stages,12,4,2048,304725630.0439942,128,128,float32
wy_prep,210.70399284362793,kda_stages,12,4,2048,38879187.28754048,128,128,float32
state_carry,95.4912006855011,kda_stages,12,4,2048,85788009.16934991,128,128,float32
output,56.55360221862793,kda_stages,12,4,2048,144853725.99840644,128,128,float32
gate_cumsum,99.481600522995,kda_stages,12,4,8192,329387543.30179614,128,128,float32
wy_prep,724.1184234619141,kda_stages,12,4,8192,45252266.67116208,128,128,float32
state_carry,354.7679901123047,kda_stages,12,4,8192,92364590.13573074,128,128,float32
output,199.6351957321167,kda_stages,12,4,8192,164139393.75685138,128,128,float32
gate_cumsum,14.67839926481247,kda_stages,96,1,512,34881187.707394145,128,128,float32
wy_prep,102.7392029762268,kda_stages,96,1,512,4983492.037781075,128,128,float32
state_carry,33.03999900817871,kda_stages,96,1,512,15496368.503923371,128,128,float32
output,29.068800806999207,kda_stages,96,1,512,17613385.684514385,128,128,float32
gate_cumsum,50.83199739456177,kda_stages,96,1,2048,40289583.43114615,128,128,float32
wy_prep,367.2192096710205,kda_stages,96,1,2048,5577050.290573674,128,128,float32
state_carry,108.57919454574585,kda_stages,96,1,2048,18861808.73387443,128,128,float32
output,104.89280223846436,kda_stages,96,1,2048,19524695.272646602,128,128,float32
gate_cumsum,183.20000171661377,kda_stages,96,1,8192,44716156.78624252,128,128,float32
wy_prep,1386.5440368652344,kda_stages,96,1,8192,5908214.800390234,128,128,float32
state_carry,402.7423858642578,kda_stages,96,1,8192,20340545.935885355,128,128,float32
output,393.65758895874023,kda_stages,96,1,8192,20809963.353351265,128,128,float32
gate_cumsum,50.73919892311096,kda_stages,96,4,512,40363270.281493664,128,128,float32
wy_prep,368.64960193634033,kda_stages,96,4,512,5555410.854217213,128,128,float32
state_carry,106.30079507827759,kda_stages,96,4,512,19266083.55555476,128,128,float32
output,104.89280223846436,kda_stages,96,4,512,19524695.272646602,128,128,float32
gate_cumsum,183.52960348129272,kda_stages,96,4,2048,44635850.80885883,128,128,float32
wy_prep,1393.5808181762695,kda_stages,96,4,2048,5878381.715041531,128,128,float32
state_carry,353.53920459747314,kda_stages,96,4,2048,23171404.736646146,128,128,float32
output,393.7504053115845,kda_stages,96,4,2048,20805057.949127614,128,128,float32
gate_cumsum,714.1248226165771,kda_stages,96,4,8192,45885535.640585855,128,128,float32
wy_prep,5471.379089355469,kda_stages,96,4,8192,5988983.6666134,128,128,float32
state_carry,1366.26558303833,kda_stages,96,4,8192,23983623.97970227,128,128,float32
output,1557.151985168457,kda_stages,96,4,8192,21043546.366769757,128,128,float32
